TableInfo,[Sal],[Ery],[Cm],[Tmp],[Ofl],[Dox],[Linc],g
1,0.008747175801513357,0.010277022071018953,0.007318307069055027,0.0,0.0,0.0,0.0,0.88
1,0.008747175801513357,0.020554044142037906,0.014636614138110054,0.0,0.0,0.0,0.0,0.74
1,0.008747175801513357,0.030831066213056858,0.021954921207165082,0.0,0.0,0.0,0.0,0.65
1,0.008747175801513357,0.04110808828407581,0.029273228276220108,0.0,0.0,0.0,0.0,0.53
1,0.008747175801513357,0.051385110355094764,0.036591535345275136,0.0,0.0,0.0,0.0,0.41
1,0.01049661096181603,0.010277022071018953,0.0043909842414330165,0.0,0.0,0.0,0.0,0.86
1,0.01049661096181603,0.010277022071018953,0.008781968482866033,0.0,0.0,0.0,0.0,0.9
1,0.01049661096181603,0.010277022071018953,0.01317295272429905,0.0,0.0,0.0,0.0,0.9
1,0.01049661096181603,0.010277022071018953,0.017563936965732066,0.0,0.0,0.0,0.0,0.89
1,0.01049661096181603,0.010277022071018953,0.021954921207165082,0.0,0.0,0.0,0.0,0.85
1,0.01049661096181603,0.010277022071018953,0.0263459054485981,0.0,0.0,0.0,0.0,0.81
1,0.01049661096181603,0.010277022071018953,0.030736889690031115,0.0,0.0,0.0,0.0,0.81
1,0.01049661096181603,0.010277022071018953,0.03512787393146413,0.0,0.0,0.0,0.0,0.8
1,0.01049661096181603,0.010277022071018953,0.03951885817289715,0.0,0.0,0.0,0.0,0.83
1,0.017494351603026714,0.010277022071018953,0.007318307069055027,0.0,0.0,0.0,0.0,0.8
1,0.017494351603026714,0.020554044142037906,0.014636614138110054,0.0,0.0,0.0,0.0,0.65
1,0.017494351603026714,0.030831066213056858,0.021954921207165082,0.0,0.0,0.0,0.0,0.63
1,0.017494351603026714,0.04110808828407581,0.029273228276220108,0.0,0.0,0.0,0.0,0.51
1,0.017494351603026714,0.051385110355094764,0.036591535345275136,0.0,0.0,0.0,0.0,0.41
1,0.02099322192363206,0.020554044142037906,0.0043909842414330165,0.0,0.0,0.0,0.0,0.76
1,0.02099322192363206,0.020554044142037906,0.008781968482866033,0.0,0.0,0.0,0.0,0.8
1,0.02099322192363206,0.020554044142037906,0.01317295272429905,0.0,0.0,0.0,0.0,0.82
1,0.02099322192363206,0.020554044142037906,0.017563936965732066,0.0,0.0,0.0,0.0,0.76
1,0.02099322192363206,0.020554044142037906,0.021954921207165082,0.0,0.0,0.0,0.0,0.75
1,0.02099322192363206,0.020554044142037906,0.0263459054485981,0.0,0.0,0.0,0.0,0.71
1,0.02099322192363206,0.020554044142037906,0.030736889690031115,0.0,0.0,0.0,0.0,0.69
1,0.02099322192363206,0.020554044142037906,0.03512787393146413,0.0,0.0,0.0,0.0,0.67
1,0.02099322192363206,0.020554044142037906,0.03951885817289715,0.0,0.0,0.0,0.0,0.68
1,0.026241527404540072,0.010277022071018953,0.007318307069055027,0.0,0.0,0.0,0.0,0.77
1,0.026241527404540072,0.020554044142037906,0.014636614138110054,0.0,0.0,0.0,0.0,0.66
1,0.026241527404540072,0.030831066213056858,0.021954921207165082,0.0,0.0,0.0,0.0,0.57
1,0.026241527404540072,0.04110808828407581,0.029273228276220108,0.0,0.0,0.0,0.0,0.44
1,0.026241527404540072,0.051385110355094764,0.036591535345275136,0.0,0.0,0.0,0.0,0.36
1,0.031489832885448085,0.030831066213056858,0.0043909842414330165,0.0,0.0,0.0,0.0,0.65
1,0.031489832885448085,0.030831066213056858,0.008781968482866033,0.0,0.0,0.0,0.0,0.64
1,0.031489832885448085,0.030831066213056858,0.01317295272429905,0.0,0.0,0.0,0.0,0.66
1,0.031489832885448085,0.030831066213056858,0.017563936965732066,0.0,0.0,0.0,0.0,0.66
