TableInfo,[Sal],[Ery],[Cm],[Tmp],[Ofl],[Dox],[Linc],g
1,0.0,0.010277022071018953,0.007318307069055027,0.0,0.0,0.0,0.0,0.85
1,0.0,0.020554044142037906,0.014636614138110054,0.0,0.0,0.0,0.0,0.77
1,0.0,0.030831066213056858,0.021954921207165082,0.0,0.0,0.0,0.0,0.6
1,0.0,0.04110808828407581,0.029273228276220108,0.0,0.0,0.0,0.0,0.45
1,0.0,0.051385110355094764,0.036591535345275136,0.0,0.0,0.0,0.0,0.33
1,0.008747175801513357,0.010277022071018953,0.0,0.0,0.0,0.0,0.0,0.9
13,0.008747175801513357,0.0,0.007318307069055027,0.0,0.0,0.0,0.0,0.91
1,0.008747175801513357,0.020554044142037906,0.0,0.0,0.0,0.0,0.0,0.85
13,0.008747175801513357,0.0,0.014636614138110054,0.0,0.0,0.0,0.0,0.87
1,0.008747175801513357,0.030831066213056858,0.0,0.0,0.0,0.0,0.0,0.71
13,0.008747175801513357,0.0,0.021954921207165082,0.0,0.0,0.0,0.0,0.875
1,0.008747175801513357,0.04110808828407581,0.0,0.0,0.0,0.0,0.0,0.62
13,0.008747175801513357,0.0,0.029273228276220108,0.0,0.0,0.0,0.0,0.845
1,0.008747175801513357,0.051385110355094764,0.0,0.0,0.0,0.0,0.0,0.56
13,0.008747175801513357,0.0,0.036591535345275136,0.0,0.0,0.0,0.0,0.7849999999999999
1,0.01049661096181603,0.010277022071018953,0.0,0.0,0.0,0.0,0.0,0.88
1,0.01049661096181603,0.0,0.0043909842414330165,0.0,0.0,0.0,0.0,0.89
1,0.0,0.010277022071018953,0.0043909842414330165,0.0,0.0,0.0,0.0,0.88
1,0.01049661096181603,0.0,0.008781968482866033,0.0,0.0,0.0,0.0,0.88
1,0.0,0.010277022071018953,0.008781968482866033,0.0,0.0,0.0,0.0,0.85
1,0.01049661096181603,0.0,0.01317295272429905,0.0,0.0,0.0,0.0,0.87
1,0.0,0.010277022071018953,0.01317295272429905,0.0,0.0,0.0,0.0,0.84
1,0.01049661096181603,0.0,0.017563936965732066,0.0,0.0,0.0,0.0,0.85
1,0.0,0.010277022071018953,0.017563936965732066,0.0,0.0,0.0,0.0,0.81
1,0.01049661096181603,0.0,0.021954921207165082,0.0,0.0,0.0,0.0,0.86
1,0.0,0.010277022071018953,0.021954921207165082,0.0,0.0,0.0,0.0,0.76
1,0.01049661096181603,0.0,0.0263459054485981,0.0,0.0,0.0,0.0,0.87
1,0.0,0.010277022071018953,0.0263459054485981,0.0,0.0,0.0,0.0,0.71
1,0.01049661096181603,0.0,0.030736889690031115,0.0,0.0,0.0,0.0,0.86
1,0.0,0.010277022071018953,0.030736889690031115,0.0,0.0,0.0,0.0,0.68
1,0.01049661096181603,0.0,0.03512787393146413,0.0,0.0,0.0,0.0,0.83
1,0.0,0.010277022071018953,0.03512787393146413,0.0,0.0,0.0,0.0,0.6
1,0.01049661096181603,0.0,0.03951885817289715,0.0,0.0,0.0,0.0,0.8
1,0.0,0.010277022071018953,0.03951885817289715,0.0,0.0,0.0,0.0,0.55
1,0.017494351603026714,0.010277022071018953,0.0,0.0,0.0,0.0,0.0,0.86
13,0.017494351603026714,0.0,0.007318307069055027,0.0,0.0,0.0,0.0,0.83
1,0.017494351603026714,0.020554044142037906,0.0,0.0,0.0,0.0,0.0,0.79
13,0.017494351603026714,0.0,0.014636614138110054,0.0,0.0,0.0,0.0,0.825
1,0.017494351603026714,0.030831066213056858,0.0,0.0,0.0,0.0,0.0,0.69
13,0.017494351603026714,0.0,0.021954921207165082,0.0,0.0,0.0,0.0,0.845
